Container	        CPU-usage(%)	Memory-usage(bytes)
rfsim5g-oai-du	0.0011409246164404	16130048.0
rfsim5g-oai-du	0.0002310413557971	16326656.0
rfsim5g-oai-du	0.0007087044211738	16338944.0
rfsim5g-oai-du	0.0014331870087892	16355328.0
rfsim5g-oai-du	0.0013286659158009	16367616.0
rfsim5g-oai-du	0.0009788791470749	16384000.0
rfsim5g-oai-du	0.0011615114926189	16396288.0
rfsim5g-oai-du	0.0016424212356478	16412672.0
rfsim5g-oai-du	0.0049524602452834	16424960.0
rfsim5g-oai-du	0.0044964124128281	16445440.0
rfsim5g-oai-du	0.0044310000218612	16453632.0
rfsim5g-oai-du	0.004425863651269	16474112.0
rfsim5g-oai-du	0.0048681957009386	16482304.0
rfsim5g-oai-du	0.0041579975608162	16498688.0
rfsim5g-oai-du	0.0060338684800836	16519168.0
rfsim5g-oai-du	0.0042854363525491	16527360.0
rfsim5g-oai-du	0.005575711899126	16543744.0
rfsim5g-oai-du	0.0050223391296431	16560128.0
rfsim5g-oai-du	0.0048065728787327	16572416.0
rfsim5g-oai-du	0.0046506782820466	16588800.0
rfsim5g-oai-du	0.0055875637552751	16601088.0
rfsim5g-oai-du	0.0044929681610287	16613376.0
rfsim5g-oai-du	0.0049947874014008	16629760.0
rfsim5g-oai-du	0.0047078693740471	16642048.0
rfsim5g-oai-du	0.0051513935669104	16658432.0
rfsim5g-oai-du	0.004361798954735	16674816.0
rfsim5g-oai-du	0.0051057507065631	16687104.0
rfsim5g-oai-du	0.0047286792427437	16699392.0
rfsim5g-oai-du	0.0049473421647385	16715776.0
rfsim5g-oai-du	0.0058699890129562	16728064.0
rfsim5g-oai-du	0.0045053753272617	16744448.0
rfsim5g-oai-du	0.0042476284320526	16760832.0
rfsim5g-oai-du	0.0062728765034874	16777216.0
rfsim5g-oai-du	0.0043882037184996	16785408.0
rfsim5g-oai-du	0.0043117365091018	16801792.0
rfsim5g-oai-du	0.0045055133127469	16814080.0
rfsim5g-oai-du	0.0045685533287363	16834560.0
rfsim5g-oai-du	0.004584257824143	16842752.0
rfsim5g-oai-du	0.0052272866294459	16859136.0
rfsim5g-oai-du	0.0049138800409279	16871424.0
rfsim5g-oai-du	0.00498519699391	16887808.0
rfsim5g-oai-du	0.0055572932233403	16900096.0
rfsim5g-oai-du	0.0038322700513972	16916480.0
rfsim5g-oai-du	0.0047353943549432	16932864.0
rfsim5g-oai-du	0.005169471209977	16945152.0
rfsim5g-oai-du	0.0057471435963205	17088512.0
rfsim5g-oai-du	0.0043664972802051	16977920.0
rfsim5g-oai-du	0.0057680104369361	16990208.0
