Connecting to host 192.168.30.3, port 5201
Reverse mode, remote host 192.168.30.3 is sending
[  5] local 192.168.30.5 port 34019 connected to 192.168.30.3 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  58.00-59.00  sec  17.0 KBytes   139 Kbits/sec  0.034 ms  0/12 (0%)  
[  5]  59.00-60.00  sec  15.6 KBytes   127 Kbits/sec  0.034 ms  0/11 (0%)  
[  5]  60.00-61.00  sec  15.6 KBytes   127 Kbits/sec  0.042 ms  0/11 (0%)  
[  5]  61.00-62.00  sec  15.6 KBytes   127 Kbits/sec  0.053 ms  0/11 (0%)  
[  5]  62.00-63.00  sec  15.6 KBytes   127 Kbits/sec  0.059 ms  0/11 (0%)  
[  5]  63.00-64.00  sec  15.6 KBytes   127 Kbits/sec  0.068 ms  0/11 (0%)  
[  5]  64.00-65.00  sec  15.6 KBytes   127 Kbits/sec  0.062 ms  0/11 (0%)  
[  5]  65.00-66.00  sec  15.6 KBytes   127 Kbits/sec  0.057 ms  0/11 (0%)  
[  5]  66.00-67.00  sec  15.6 KBytes   127 Kbits/sec  0.065 ms  0/11 (0%)  
[  5]  67.00-68.00  sec  15.6 KBytes   127 Kbits/sec  0.053 ms  0/11 (0%)  
[  5]  68.00-69.00  sec  15.6 KBytes   127 Kbits/sec  0.081 ms  0/11 (0%)  
[  5]  69.00-70.00  sec  15.6 KBytes   127 Kbits/sec  0.067 ms  0/11 (0%)  
[  5]  70.00-71.00  sec  15.6 KBytes   127 Kbits/sec  0.060 ms  0/11 (0%)  
[  5]  71.00-72.00  sec  15.6 KBytes   127 Kbits/sec  0.053 ms  0/11 (0%)  
[  5]  72.00-73.00  sec  15.6 KBytes   127 Kbits/sec  0.067 ms  0/11 (0%)  
[  5]  73.00-74.00  sec  15.6 KBytes   127 Kbits/sec  0.061 ms  0/11 (0%)  
[  5]  74.00-75.00  sec  15.6 KBytes   127 Kbits/sec  0.065 ms  0/11 (0%)  
[  5]  75.00-76.00  sec  15.6 KBytes   127 Kbits/sec  0.083 ms  0/11 (0%)  
[  5]  76.00-77.00  sec  15.6 KBytes   127 Kbits/sec  0.100 ms  0/11 (0%)  
[  5]  77.00-78.00  sec  15.6 KBytes   127 Kbits/sec  0.068 ms  0/11 (0%)  
[  5]  78.00-79.00  sec  17.0 KBytes   139 Kbits/sec  0.060 ms  0/12 (0%)  
[  5]  79.00-80.00  sec  15.6 KBytes   127 Kbits/sec  0.058 ms  0/11 (0%)  
[  5]  80.00-81.00  sec  15.6 KBytes   127 Kbits/sec  0.063 ms  0/11 (0%)  
[  5]  81.00-82.00  sec  15.6 KBytes   127 Kbits/sec  0.047 ms  0/11 (0%)  
[  5]  82.00-83.00  sec  15.6 KBytes   127 Kbits/sec  0.044 ms  0/11 (0%)  
[  5]  83.00-84.00  sec  15.6 KBytes   127 Kbits/sec  0.040 ms  0/11 (0%)  
[  5]  84.00-85.00  sec  15.6 KBytes   127 Kbits/sec  0.063 ms  0/11 (0%)  
[  5]  85.00-86.00  sec  15.6 KBytes   127 Kbits/sec  0.062 ms  0/11 (0%)  
[  5]  86.00-87.00  sec  15.6 KBytes   127 Kbits/sec  0.055 ms  0/11 (0%)  
[  5]  87.00-88.00  sec  15.6 KBytes   127 Kbits/sec  0.063 ms  0/11 (0%)  
[  5]  88.00-89.00  sec  15.6 KBytes   127 Kbits/sec  0.064 ms  0/11 (0%)  
[  5]  89.00-90.00  sec  15.6 KBytes   127 Kbits/sec  0.063 ms  0/11 (0%)  
[  5]  90.00-91.00  sec  15.6 KBytes   127 Kbits/sec  0.056 ms  0/11 (0%)  
[  5]  91.00-92.00  sec  15.6 KBytes   127 Kbits/sec  0.056 ms  0/11 (0%)  
[  5]  92.00-93.00  sec  15.6 KBytes   127 Kbits/sec  0.065 ms  0/11 (0%)  
[  5]  93.00-94.00  sec  15.6 KBytes   127 Kbits/sec  0.051 ms  0/11 (0%)  
[  5]  94.00-95.00  sec  14.1 KBytes   116 Kbits/sec  0.047 ms  0/10 (0%)  
