PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=80 ttl=57 time=32.0 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=57 time=31.8 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=57 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=57 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=57 time=32.1 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=57 time=32.1 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=57 time=32.0 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=57 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=57 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=57 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=57 time=31.7 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=57 time=31.4 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=57 time=114 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=57 time=32.2 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=57 time=32.8 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=57 time=31.3 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=57 time=32.1 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=57 time=115 ms

--- 8.8.8.8 ping statistics ---
100 packets transmitted, 94 received, 6% packet loss, time 99256ms
rtt min/avg/max/mdev = 30.342/35.414/114.900/14.475 ms
