PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=57 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=57 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=57 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=57 time=23.7 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=57 time=101 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=57 time=21.2 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=57 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=57 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=57 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=57 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=57 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=57 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=57 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=57 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=57 time=23.9 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=57 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=57 time=20.9 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=57 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=57 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=57 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=57 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=57 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=57 time=24.4 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=57 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=57 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=57 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=57 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=57 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=57 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=57 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=57 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=57 time=20.6 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=57 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=57 time=23.6 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=57 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=57 time=28.0 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=57 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=57 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=57 time=23.3 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=57 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=57 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=57 time=22.1 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=57 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=57 time=22.0 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=57 time=22.5 ms
