PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=65 ttl=57 time=23.1 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=57 time=21.6 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=57 time=37.2 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=57 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=71 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=72 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=73 ttl=57 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=74 ttl=57 time=21.9 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=57 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=57 time=101 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=57 time=20.7 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=57 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=57 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=57 time=21.8 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=57 time=20.5 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=57 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=57 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=57 time=22.9 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=57 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=57 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=57 time=23.2 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=57 time=22.4 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=57 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=57 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=57 time=22.3 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=57 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=57 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=57 time=22.7 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=57 time=22.8 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=57 time=22.5 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=57 time=23.4 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=57 time=22.6 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=57 time=22.2 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=57 time=22.7 ms

--- 8.8.8.8 ping statistics ---
100 packets transmitted, 99 received, 1% packet loss, time 99108ms
rtt min/avg/max/mdev = 20.533/24.176/100.940/11.162 ms
