Container	Memory-usage(MiB)
rfsim5g-oai-cucp	15937536
rfsim5g-oai-cucp	15949824
rfsim5g-oai-cucp	15962112
rfsim5g-oai-cucp	15978496
rfsim5g-oai-cucp	15994880
rfsim5g-oai-cucp	16003072
rfsim5g-oai-cucp	16019456
rfsim5g-oai-cucp	16035840
rfsim5g-oai-cucp	16052224
rfsim5g-oai-cucp	16068608
rfsim5g-oai-cucp	16080896
rfsim5g-oai-cucp	16093184
rfsim5g-oai-cucp	16109568
rfsim5g-oai-cucp	16121856
rfsim5g-oai-cucp	16134144
rfsim5g-oai-cucp	16150528
rfsim5g-oai-cucp	16166912
rfsim5g-oai-cucp	16179200
rfsim5g-oai-cucp	16195584
rfsim5g-oai-cucp	16203776
rfsim5g-oai-cucp	16224256
rfsim5g-oai-cucp	16236544
rfsim5g-oai-cucp	16252928
rfsim5g-oai-cucp	16265216
rfsim5g-oai-cucp	16281600
rfsim5g-oai-cucp	16289792
rfsim5g-oai-cucp	16310272
rfsim5g-oai-cucp	16322560
rfsim5g-oai-cucp	16461824
rfsim5g-oai-cucp	16355328
rfsim5g-oai-cucp	16363520
rfsim5g-oai-cucp	16384000
rfsim5g-oai-cucp	16392192
rfsim5g-oai-cucp	16412672
rfsim5g-oai-cucp	16424960
rfsim5g-oai-cucp	16441344
rfsim5g-oai-cucp	16449536
rfsim5g-oai-cucp	16470016
rfsim5g-oai-cucp	16605184
rfsim5g-oai-cucp	16498688
rfsim5g-oai-cucp	16510976
rfsim5g-oai-cucp	16527360
rfsim5g-oai-cucp	16662528
rfsim5g-oai-cucp	16556032
rfsim5g-oai-cucp	16568320
rfsim5g-oai-cucp	16580608
rfsim5g-oai-cucp	16596992
rfsim5g-oai-cucp	16613376
rfsim5g-oai-cucp	16625664
rfsim5g-oai-cucp	16642048
rfsim5g-oai-cucp	16650240
rfsim5g-oai-cucp	16666624
rfsim5g-oai-cucp	16683008
rfsim5g-oai-cucp	16699392
rfsim5g-oai-cucp	16711680
rfsim5g-oai-cucp	16728064
rfsim5g-oai-cucp	16744448
rfsim5g-oai-cucp	16752640
rfsim5g-oai-cucp	16764928
rfsim5g-oai-cucp	16785408
rfsim5g-oai-cucp	16801792
rfsim5g-oai-cucp	16814080
rfsim5g-oai-cucp	16830464
rfsim5g-oai-cucp	16838656
rfsim5g-oai-cucp	16859136
rfsim5g-oai-cucp	16871424
rfsim5g-oai-cucp	16887808
rfsim5g-oai-cucp	16900096
rfsim5g-oai-cucp	16916480
rfsim5g-oai-cucp	16928768
rfsim5g-oai-cucp	16945152
rfsim5g-oai-cucp	16957440
rfsim5g-oai-cucp	16973824
rfsim5g-oai-cucp	17113088
rfsim5g-oai-cucp	17006592
rfsim5g-oai-cucp	17018880
rfsim5g-oai-cucp	17035264
rfsim5g-oai-cucp	17043456
rfsim5g-oai-cucp	17063936
rfsim5g-oai-cucp	17076224
rfsim5g-oai-cucp	17092608
rfsim5g-oai-cucp	17104896
rfsim5g-oai-cucp	17121280
rfsim5g-oai-cucp	17129472
rfsim5g-oai-cucp	17149952
rfsim5g-oai-cucp	17162240
rfsim5g-oai-cucp	17203200
rfsim5g-oai-cucp	17190912
rfsim5g-oai-cucp	17207296
rfsim5g-oai-cucp	17219584
rfsim5g-oai-cucp	17231872
rfsim5g-oai-cucp	17248256
rfsim5g-oai-cucp	17264640
rfsim5g-oai-cucp	17281024
rfsim5g-oai-cucp	17289216
rfsim5g-oai-cucp	17305600
rfsim5g-oai-cucp	17317888
rfsim5g-oai-cucp	17338368
rfsim5g-oai-cucp	17350656
rfsim5g-oai-cucp	17367040
rfsim5g-oai-cucp	17383424
rfsim5g-oai-cucp	17399808
rfsim5g-oai-cucp	17412096
rfsim5g-oai-cucp	17428480
rfsim5g-oai-cucp	17440768
rfsim5g-oai-cucp	17453056
rfsim5g-oai-cucp	17469440
rfsim5g-oai-cucp	17485824
rfsim5g-oai-cucp	17498112
rfsim5g-oai-cucp	17514496
rfsim5g-oai-cucp	17522688
rfsim5g-oai-cucp	17539072
rfsim5g-oai-cucp	17555456
rfsim5g-oai-cucp	17571840
rfsim5g-oai-cucp	17584128
rfsim5g-oai-cucp	17600512
rfsim5g-oai-cucp	17735680
rfsim5g-oai-cucp	17629184
rfsim5g-oai-cucp	17641472
rfsim5g-oai-cucp	17657856
rfsim5g-oai-cucp	17670144
rfsim5g-oai-cucp	17686528
rfsim5g-oai-cucp	17694720
rfsim5g-oai-cucp	17838080
rfsim5g-oai-cucp	17727488
rfsim5g-oai-cucp	17743872
rfsim5g-oai-cucp	17756160
rfsim5g-oai-cucp	17768448
rfsim5g-oai-cucp	17784832
rfsim5g-oai-cucp	17801216
rfsim5g-oai-cucp	17813504
rfsim5g-oai-cucp	17829888
rfsim5g-oai-cucp	17842176
rfsim5g-oai-cucp	17858560
rfsim5g-oai-cucp	17866752
rfsim5g-oai-cucp	18010112
rfsim5g-oai-cucp	17899520
rfsim5g-oai-cucp	17915904
rfsim5g-oai-cucp	17932288
rfsim5g-oai-cucp	17944576
rfsim5g-oai-cucp	17960960
rfsim5g-oai-cucp	17973248
rfsim5g-oai-cucp	17989632
rfsim5g-oai-cucp	18124800
rfsim5g-oai-cucp	18018304
rfsim5g-oai-cucp	18030592
rfsim5g-oai-cucp	18046976
rfsim5g-oai-cucp	18059264
rfsim5g-oai-cucp	18075648
rfsim5g-oai-cucp	18083840
rfsim5g-oai-cucp	18104320
rfsim5g-oai-cucp	18145280
rfsim5g-oai-cucp	18255872
rfsim5g-oai-cucp	18145280
rfsim5g-oai-cucp	18161664
rfsim5g-oai-cucp	18169856
rfsim5g-oai-cucp	18190336
rfsim5g-oai-cucp	18202624
rfsim5g-oai-cucp	18214912
rfsim5g-oai-cucp	18227200
rfsim5g-oai-cucp	18243584
rfsim5g-oai-cucp	18255872
rfsim5g-oai-cucp	18276352
rfsim5g-oai-cucp	18292736
rfsim5g-oai-cucp	18305024
rfsim5g-oai-cucp	18317312
rfsim5g-oai-cucp	18333696
rfsim5g-oai-cucp	18350080
rfsim5g-oai-cucp	18362368
rfsim5g-oai-cucp	18374656
rfsim5g-oai-cucp	18391040
rfsim5g-oai-cucp	18407424
rfsim5g-oai-cucp	18419712
rfsim5g-oai-cucp	18436096
rfsim5g-oai-cucp	18448384
rfsim5g-oai-cucp	18460672
rfsim5g-oai-cucp	18477056
rfsim5g-oai-cucp	18493440
rfsim5g-oai-cucp	18505728
rfsim5g-oai-cucp	18644992
rfsim5g-oai-cucp	18530304
rfsim5g-oai-cucp	18550784
rfsim5g-oai-cucp	18563072
rfsim5g-oai-cucp	18579456
rfsim5g-oai-cucp	18591744
rfsim5g-oai-cucp	18608128
rfsim5g-oai-cucp	18620416
rfsim5g-oai-cucp	18632704
rfsim5g-oai-cucp	18771968
rfsim5g-oai-cucp	18661376
rfsim5g-oai-cucp	18677760
rfsim5g-oai-cucp	18694144
rfsim5g-oai-cucp	18702336
rfsim5g-oai-cucp	18718720
rfsim5g-oai-cucp	18735104
rfsim5g-oai-cucp	18751488
rfsim5g-oai-cucp	18763776
rfsim5g-oai-cucp	18780160
rfsim5g-oai-cucp	18919424
rfsim5g-oai-cucp	18931712
rfsim5g-oai-cucp	18825216
rfsim5g-oai-cucp	18833408
rfsim5g-oai-cucp	18853888
rfsim5g-oai-cucp	18862080
rfsim5g-oai-cucp	18882560
rfsim5g-oai-cucp	18890752
rfsim5g-oai-cucp	18911232
rfsim5g-oai-cucp	18923520
rfsim5g-oai-cucp	18935808
rfsim5g-oai-cucp	18952192
rfsim5g-oai-cucp	18968576
rfsim5g-oai-cucp	18980864
rfsim5g-oai-cucp	18993152
rfsim5g-oai-cucp	19005440
rfsim5g-oai-cucp	19025920
rfsim5g-oai-cucp	19038208
rfsim5g-oai-cucp	19054592
rfsim5g-oai-cucp	19070976
rfsim5g-oai-cucp	19087360
rfsim5g-oai-cucp	19095552
rfsim5g-oai-cucp	19111936
rfsim5g-oai-cucp	19128320
rfsim5g-oai-cucp	19140608
rfsim5g-oai-cucp	19156992
rfsim5g-oai-cucp	19169280
rfsim5g-oai-cucp	19230720
rfsim5g-oai-cucp	19197952
rfsim5g-oai-cucp	19218432
rfsim5g-oai-cucp	19230720
rfsim5g-oai-cucp	19247104
rfsim5g-oai-cucp	19259392
rfsim5g-oai-cucp	19275776
rfsim5g-oai-cucp	19288064
rfsim5g-oai-cucp	19304448
rfsim5g-oai-cucp	19316736
rfsim5g-oai-cucp	19333120
rfsim5g-oai-cucp	19345408
rfsim5g-oai-cucp	19361792
rfsim5g-oai-cucp	19369984
rfsim5g-oai-cucp	19390464
rfsim5g-oai-cucp	19402752
rfsim5g-oai-cucp	19419136
rfsim5g-oai-cucp	19431424
rfsim5g-oai-cucp	19443712
rfsim5g-oai-cucp	19472384
rfsim5g-oai-cucp	19476480
rfsim5g-oai-cucp	19488768
rfsim5g-oai-cucp	19505152
rfsim5g-oai-cucp	19517440
rfsim5g-oai-cucp	19533824
rfsim5g-oai-cucp	19546112
rfsim5g-oai-cucp	19562496
rfsim5g-oai-cucp	19701760
rfsim5g-oai-cucp	19595264
rfsim5g-oai-cucp	19607552
rfsim5g-oai-cucp	19619840
rfsim5g-oai-cucp	19636224
rfsim5g-oai-cucp	19652608
rfsim5g-oai-cucp	19664896
rfsim5g-oai-cucp	19681280
rfsim5g-oai-cucp	19693568
rfsim5g-oai-cucp	19709952
rfsim5g-oai-cucp	19845120
rfsim5g-oai-cucp	19738624
rfsim5g-oai-cucp	19750912
rfsim5g-oai-cucp	19763200
rfsim5g-oai-cucp	19779584
rfsim5g-oai-cucp	19791872
rfsim5g-oai-cucp	19808256
rfsim5g-oai-cucp	19824640
rfsim5g-oai-cucp	19836928
rfsim5g-oai-cucp	19857408
rfsim5g-oai-cucp	19869696
rfsim5g-oai-cucp	19881984
rfsim5g-oai-cucp	19898368
rfsim5g-oai-cucp	19906560
rfsim5g-oai-cucp	19927040
rfsim5g-oai-cucp	19939328
rfsim5g-oai-cucp	19955712
rfsim5g-oai-cucp	19963904
rfsim5g-oai-cucp	19984384
rfsim5g-oai-cucp	19996672
rfsim5g-oai-cucp	20013056
rfsim5g-oai-cucp	20021248
rfsim5g-oai-cucp	20041728
rfsim5g-oai-cucp	20176896
rfsim5g-oai-cucp	20066304
rfsim5g-oai-cucp	20078592
rfsim5g-oai-cucp	20094976
rfsim5g-oai-cucp	20111360
rfsim5g-oai-cucp	20131840
rfsim5g-oai-cucp	20144128
rfsim5g-oai-cucp	20156416
rfsim5g-oai-cucp	20164608
rfsim5g-oai-cucp	20185088
rfsim5g-oai-cucp	20193280
rfsim5g-oai-cucp	20213760
