Container	Memory-usage(MiB)
rfsim5g-oai-cuup	15937536
rfsim5g-oai-cuup	15949824
rfsim5g-oai-cuup	15962112
rfsim5g-oai-cuup	15978496
rfsim5g-oai-cuup	15994880
rfsim5g-oai-cuup	16003072
rfsim5g-oai-cuup	16019456
rfsim5g-oai-cuup	16035840
rfsim5g-oai-cuup	16052224
rfsim5g-oai-cuup	16068608
rfsim5g-oai-cuup	16080896
rfsim5g-oai-cuup	16093184
rfsim5g-oai-cuup	16109568
rfsim5g-oai-cuup	16121856
rfsim5g-oai-cuup	16134144
rfsim5g-oai-cuup	16150528
rfsim5g-oai-cuup	16166912
rfsim5g-oai-cuup	16179200
rfsim5g-oai-cuup	16195584
rfsim5g-oai-cuup	16203776
rfsim5g-oai-cuup	16224256
rfsim5g-oai-cuup	16236544
rfsim5g-oai-cuup	16252928
rfsim5g-oai-cuup	16265216
rfsim5g-oai-cuup	16281600
rfsim5g-oai-cuup	16289792
rfsim5g-oai-cuup	16310272
rfsim5g-oai-cuup	16322560
rfsim5g-oai-cuup	16461824
rfsim5g-oai-cuup	16355328
rfsim5g-oai-cuup	16363520
rfsim5g-oai-cuup	16384000
rfsim5g-oai-cuup	16392192
rfsim5g-oai-cuup	16412672
rfsim5g-oai-cuup	16424960
rfsim5g-oai-cuup	16441344
rfsim5g-oai-cuup	16449536
rfsim5g-oai-cuup	16470016
rfsim5g-oai-cuup	16605184
rfsim5g-oai-cuup	16498688
rfsim5g-oai-cuup	16510976
rfsim5g-oai-cuup	16527360
rfsim5g-oai-cuup	16662528
rfsim5g-oai-cuup	16556032
rfsim5g-oai-cuup	16568320
rfsim5g-oai-cuup	16580608
rfsim5g-oai-cuup	16596992
rfsim5g-oai-cuup	16613376
rfsim5g-oai-cuup	16625664
rfsim5g-oai-cuup	16642048
rfsim5g-oai-cuup	16650240
rfsim5g-oai-cuup	16666624
rfsim5g-oai-cuup	16683008
rfsim5g-oai-cuup	16699392
rfsim5g-oai-cuup	16711680
rfsim5g-oai-cuup	16728064
rfsim5g-oai-cuup	16744448
rfsim5g-oai-cuup	16752640
rfsim5g-oai-cuup	16764928
rfsim5g-oai-cuup	16785408
rfsim5g-oai-cuup	16801792
rfsim5g-oai-cuup	16814080
rfsim5g-oai-cuup	16830464
rfsim5g-oai-cuup	16838656
rfsim5g-oai-cuup	16859136
rfsim5g-oai-cuup	16871424
rfsim5g-oai-cuup	16887808
rfsim5g-oai-cuup	16900096
rfsim5g-oai-cuup	16916480
rfsim5g-oai-cuup	16928768
rfsim5g-oai-cuup	16945152
rfsim5g-oai-cuup	16957440
rfsim5g-oai-cuup	16973824
rfsim5g-oai-cuup	17113088
rfsim5g-oai-cuup	17006592
rfsim5g-oai-cuup	17018880
rfsim5g-oai-cuup	17035264
rfsim5g-oai-cuup	17043456
rfsim5g-oai-cuup	17063936
rfsim5g-oai-cuup	17076224
rfsim5g-oai-cuup	17092608
rfsim5g-oai-cuup	17104896
rfsim5g-oai-cuup	17121280
rfsim5g-oai-cuup	17129472
rfsim5g-oai-cuup	17149952
rfsim5g-oai-cuup	17162240
rfsim5g-oai-cuup	17203200
rfsim5g-oai-cuup	17190912
rfsim5g-oai-cuup	17207296
rfsim5g-oai-cuup	17219584
rfsim5g-oai-cuup	17231872
rfsim5g-oai-cuup	17248256
rfsim5g-oai-cuup	17264640
rfsim5g-oai-cuup	17281024
rfsim5g-oai-cuup	17289216
rfsim5g-oai-cuup	17305600
rfsim5g-oai-cuup	17317888
rfsim5g-oai-cuup	17338368
rfsim5g-oai-cuup	17350656
rfsim5g-oai-cuup	17367040
rfsim5g-oai-cuup	17383424
rfsim5g-oai-cuup	17399808
rfsim5g-oai-cuup	17412096
rfsim5g-oai-cuup	17428480
rfsim5g-oai-cuup	17440768
rfsim5g-oai-cuup	17453056
rfsim5g-oai-cuup	17469440
rfsim5g-oai-cuup	17485824
rfsim5g-oai-cuup	17498112
rfsim5g-oai-cuup	17514496
rfsim5g-oai-cuup	17522688
rfsim5g-oai-cuup	17539072
rfsim5g-oai-cuup	17555456
rfsim5g-oai-cuup	17571840
rfsim5g-oai-cuup	17584128
rfsim5g-oai-cuup	17600512
rfsim5g-oai-cuup	17735680
rfsim5g-oai-cuup	17629184
rfsim5g-oai-cuup	17641472
rfsim5g-oai-cuup	17657856
rfsim5g-oai-cuup	17670144
rfsim5g-oai-cuup	17686528
rfsim5g-oai-cuup	17694720
rfsim5g-oai-cuup	17838080
rfsim5g-oai-cuup	17727488
rfsim5g-oai-cuup	17743872
rfsim5g-oai-cuup	17756160
rfsim5g-oai-cuup	17768448
rfsim5g-oai-cuup	17784832
rfsim5g-oai-cuup	17801216
rfsim5g-oai-cuup	17813504
rfsim5g-oai-cuup	17829888
rfsim5g-oai-cuup	17842176
rfsim5g-oai-cuup	17858560
rfsim5g-oai-cuup	17866752
rfsim5g-oai-cuup	18010112
rfsim5g-oai-cuup	17899520
rfsim5g-oai-cuup	17915904
rfsim5g-oai-cuup	17932288
rfsim5g-oai-cuup	17944576
rfsim5g-oai-cuup	17960960
rfsim5g-oai-cuup	17973248
rfsim5g-oai-cuup	17989632
rfsim5g-oai-cuup	18124800
rfsim5g-oai-cuup	18018304
rfsim5g-oai-cuup	18030592
rfsim5g-oai-cuup	18046976
rfsim5g-oai-cuup	18059264
rfsim5g-oai-cuup	18075648
rfsim5g-oai-cuup	18083840
rfsim5g-oai-cuup	18104320
rfsim5g-oai-cuup	18145280
rfsim5g-oai-cuup	18255872
rfsim5g-oai-cuup	18145280
rfsim5g-oai-cuup	18161664
rfsim5g-oai-cuup	18169856
rfsim5g-oai-cuup	18190336
rfsim5g-oai-cuup	18202624
rfsim5g-oai-cuup	18214912
rfsim5g-oai-cuup	18227200
rfsim5g-oai-cuup	18243584
rfsim5g-oai-cuup	18255872
rfsim5g-oai-cuup	18276352
rfsim5g-oai-cuup	18292736
rfsim5g-oai-cuup	18305024
rfsim5g-oai-cuup	18317312
rfsim5g-oai-cuup	18333696
rfsim5g-oai-cuup	18350080
rfsim5g-oai-cuup	18362368
rfsim5g-oai-cuup	18374656
rfsim5g-oai-cuup	18391040
rfsim5g-oai-cuup	18407424
rfsim5g-oai-cuup	18419712
rfsim5g-oai-cuup	18436096
rfsim5g-oai-cuup	18448384
rfsim5g-oai-cuup	18460672
rfsim5g-oai-cuup	18477056
rfsim5g-oai-cuup	18493440
rfsim5g-oai-cuup	18505728
rfsim5g-oai-cuup	18644992
rfsim5g-oai-cuup	18530304
rfsim5g-oai-cuup	18550784
rfsim5g-oai-cuup	18563072
rfsim5g-oai-cuup	18579456
rfsim5g-oai-cuup	18591744
rfsim5g-oai-cuup	18608128
rfsim5g-oai-cuup	18620416
rfsim5g-oai-cuup	18632704
rfsim5g-oai-cuup	18771968
rfsim5g-oai-cuup	18661376
rfsim5g-oai-cuup	18677760
rfsim5g-oai-cuup	18694144
rfsim5g-oai-cuup	18702336
rfsim5g-oai-cuup	18718720
rfsim5g-oai-cuup	18735104
rfsim5g-oai-cuup	18751488
rfsim5g-oai-cuup	18763776
rfsim5g-oai-cuup	18780160
rfsim5g-oai-cuup	18919424
rfsim5g-oai-cuup	18931712
rfsim5g-oai-cuup	18825216
rfsim5g-oai-cuup	18833408
rfsim5g-oai-cuup	18853888
rfsim5g-oai-cuup	18862080
rfsim5g-oai-cuup	18882560
rfsim5g-oai-cuup	18890752
rfsim5g-oai-cuup	18911232
rfsim5g-oai-cuup	18923520
rfsim5g-oai-cuup	18935808
rfsim5g-oai-cuup	18952192
rfsim5g-oai-cuup	18968576
rfsim5g-oai-cuup	18980864
rfsim5g-oai-cuup	18993152
rfsim5g-oai-cuup	19005440
rfsim5g-oai-cuup	19025920
rfsim5g-oai-cuup	19038208
rfsim5g-oai-cuup	19054592
rfsim5g-oai-cuup	19070976
rfsim5g-oai-cuup	19087360
rfsim5g-oai-cuup	19095552
rfsim5g-oai-cuup	19111936
rfsim5g-oai-cuup	19128320
rfsim5g-oai-cuup	19140608
rfsim5g-oai-cuup	19156992
rfsim5g-oai-cuup	19169280
rfsim5g-oai-cuup	19230720
rfsim5g-oai-cuup	19197952
rfsim5g-oai-cuup	19218432
rfsim5g-oai-cuup	19230720
rfsim5g-oai-cuup	19247104
rfsim5g-oai-cuup	19259392
rfsim5g-oai-cuup	19275776
rfsim5g-oai-cuup	19288064
rfsim5g-oai-cuup	19304448
rfsim5g-oai-cuup	19316736
rfsim5g-oai-cuup	19333120
rfsim5g-oai-cuup	19345408
rfsim5g-oai-cuup	19361792
rfsim5g-oai-cuup	19369984
rfsim5g-oai-cuup	19390464
rfsim5g-oai-cuup	19402752
rfsim5g-oai-cuup	19419136
rfsim5g-oai-cuup	19431424
rfsim5g-oai-cuup	19443712
rfsim5g-oai-cuup	19472384
rfsim5g-oai-cuup	19476480
rfsim5g-oai-cuup	19488768
rfsim5g-oai-cuup	19505152
rfsim5g-oai-cuup	19517440
rfsim5g-oai-cuup	19533824
rfsim5g-oai-cuup	19546112
rfsim5g-oai-cuup	19562496
rfsim5g-oai-cuup	19701760
rfsim5g-oai-cuup	19595264
rfsim5g-oai-cuup	19607552
rfsim5g-oai-cuup	19619840
rfsim5g-oai-cuup	19636224
rfsim5g-oai-cuup	19652608
rfsim5g-oai-cuup	19664896
rfsim5g-oai-cuup	19681280
rfsim5g-oai-cuup	19693568
rfsim5g-oai-cuup	19709952
rfsim5g-oai-cuup	19845120
rfsim5g-oai-cuup	19738624
rfsim5g-oai-cuup	19750912
rfsim5g-oai-cuup	19763200
rfsim5g-oai-cuup	19779584
rfsim5g-oai-cuup	19791872
rfsim5g-oai-cuup	19808256
rfsim5g-oai-cuup	19824640
rfsim5g-oai-cuup	19836928
rfsim5g-oai-cuup	19857408
rfsim5g-oai-cuup	19869696
rfsim5g-oai-cuup	19881984
rfsim5g-oai-cuup	19898368
rfsim5g-oai-cuup	19906560
rfsim5g-oai-cuup	19927040
rfsim5g-oai-cuup	19939328
rfsim5g-oai-cuup	19955712
rfsim5g-oai-cuup	19963904
rfsim5g-oai-cuup	19984384
rfsim5g-oai-cuup	19996672
rfsim5g-oai-cuup	20013056
rfsim5g-oai-cuup	20021248
rfsim5g-oai-cuup	20041728
rfsim5g-oai-cuup	20176896
rfsim5g-oai-cuup	20066304
rfsim5g-oai-cuup	20078592
rfsim5g-oai-cuup	20094976
rfsim5g-oai-cuup	20111360
rfsim5g-oai-cuup	20131840
rfsim5g-oai-cuup	20144128
rfsim5g-oai-cuup	20156416
rfsim5g-oai-cuup	20164608
rfsim5g-oai-cuup	20185088
rfsim5g-oai-cuup	20193280
rfsim5g-oai-cuup	20213760
rfsim5g-oai-cuup	20348928
rfsim5g-oai-cuup	20365312
rfsim5g-oai-cuup	20258816
rfsim5g-oai-cuup	20271104
rfsim5g-oai-cuup	20410368
rfsim5g-oai-cuup	20422656
rfsim5g-oai-cuup	20312064
rfsim5g-oai-cuup	20328448
rfsim5g-oai-cuup	20344832
rfsim5g-oai-cuup	20357120
rfsim5g-oai-cuup	20373504
rfsim5g-oai-cuup	20385792
rfsim5g-oai-cuup	20398080
rfsim5g-oai-cuup	20537344
rfsim5g-oai-cuup	20430848
rfsim5g-oai-cuup	20439040
rfsim5g-oai-cuup	20582400
rfsim5g-oai-cuup	20471808
rfsim5g-oai-cuup	20484096
rfsim5g-oai-cuup	20500480
rfsim5g-oai-cuup	20516864
rfsim5g-oai-cuup	20529152
rfsim5g-oai-cuup	20545536
rfsim5g-oai-cuup	20557824
rfsim5g-oai-cuup	20574208
rfsim5g-oai-cuup	20586496
rfsim5g-oai-cuup	20602880
rfsim5g-oai-cuup	20615168
rfsim5g-oai-cuup	20631552
rfsim5g-oai-cuup	20643840
rfsim5g-oai-cuup	20660224
rfsim5g-oai-cuup	20672512
rfsim5g-oai-cuup	20688896
rfsim5g-oai-cuup	20705280
rfsim5g-oai-cuup	20717568
rfsim5g-oai-cuup	20729856
rfsim5g-oai-cuup	20742144
rfsim5g-oai-cuup	20762624
rfsim5g-oai-cuup	20774912
rfsim5g-oai-cuup	20791296
rfsim5g-oai-cuup	20799488
rfsim5g-oai-cuup	20815872
rfsim5g-oai-cuup	20828160
rfsim5g-oai-cuup	20848640
rfsim5g-oai-cuup	20856832
rfsim5g-oai-cuup	20877312
rfsim5g-oai-cuup	20889600
rfsim5g-oai-cuup	20901888
rfsim5g-oai-cuup	20918272
rfsim5g-oai-cuup	20930560
rfsim5g-oai-cuup	20946944
