Container	            CPU-usage(%)	Memory-usage(bytes)
rfsim5g-oai-cuup	0.00028204431233	13160448.0
rfsim5g-oai-cuup	0.0001774506818131	13365248.0
rfsim5g-oai-cuup	0.0008226450151391	13381632.0
rfsim5g-oai-cuup	0.0016630861714588	13398016.0
rfsim5g-oai-cuup	0.0005247323387549	13414400.0
rfsim5g-oai-cuup	0.0002327589007291	13430784.0
rfsim5g-oai-cuup	0.001050364060572	13438976.0
rfsim5g-oai-cuup	0.0013340139091419	13459456.0
rfsim5g-oai-cuup	0.0012582902413153	13471744.0
rfsim5g-oai-cuup	0.0003240230929019	13484032.0
rfsim5g-oai-cuup	0.0006131066914169	13500416.0
rfsim5g-oai-cuup	0.0009767743304163	13520896.0
rfsim5g-oai-cuup	0.0012517179475778	13524992.0
rfsim5g-oai-cuup	0.0001864884506791	13545472.0
rfsim5g-oai-cuup	0.0016048012049532	13553664.0
rfsim5g-oai-cuup	0.000165476579	    13570048.0
rfsim5g-oai-cuup	0.0008043080376085	13582336.0
rfsim5g-oai-cuup	0.0010068241284587	13602816.0
rfsim5g-oai-cuup	0.0006080877459409	13611008.0
rfsim5g-oai-cuup	0.0010309098867722	13668352.0
rfsim5g-oai-cuup	0.000588319083092	13676544.0
rfsim5g-oai-cuup	0.0007213187294148	13692928.0
rfsim5g-oai-cuup	0.0011327776918145	13709312.0
rfsim5g-oai-cuup	0.0008611735228453	13721600.0
rfsim5g-oai-cuup	0.0012734254014535	13737984.0
rfsim5g-oai-cuup	0.0008419321870377	13750272.0
rfsim5g-oai-cuup	0.0007958590142143	13762560.0
rfsim5g-oai-cuup	0.0004521030165298	13783040.0
rfsim5g-oai-cuup	0.0013716143182557	13819904.0
rfsim5g-oai-cuup	0.0008215415120945	13807616.0
rfsim5g-oai-cuup	0.0006825189283002	14684160.0
rfsim5g-oai-cuup	0.000809719644213	13840384.0
rfsim5g-oai-cuup	0.0002196147551772	13852672.0
rfsim5g-oai-cuup	0.0019737077922077	13864960.0
rfsim5g-oai-cuup	0.0007590706168831	13877248.0
rfsim5g-oai-cuup	0.0002821398078273	13893632.0
rfsim5g-oai-cuup	0.0002086958328678	13914112.0
rfsim5g-oai-cuup	0.0010199982348341	13922304.0
rfsim5g-oai-cuup	0.0011409603843145	13938688.0
rfsim5g-oai-cuup	0.0001265359848061	13950976.0
rfsim5g-oai-cuup	0.0005622532008237	13971456.0
rfsim5g-oai-cuup	0.0004493075700599	13979648.0
rfsim5g-oai-cuup	0.0002665973229474	13996032.0
rfsim5g-oai-cuup	0.0012222136270033	14008320.0
rfsim5g-oai-cuup	0.0001329509781567	14024704.0
rfsim5g-oai-cuup	0.0012649945277942	14036992.0
rfsim5g-oai-cuup	8.66714852478e-05	14053376.0
rfsim5g-oai-cuup	0.0013155841123626	14065664.0
rfsim5g-oai-cuup	0.0006434775571908	14082048.0
rfsim5g-oai-cuup	0.0005800404170649	14094336.0
rfsim5g-oai-cuup	0.000306103621529	14110720.0
rfsim5g-oai-cuup	0.0010300713856961	14127104.0
rfsim5g-oai-cuup	0.0004721038520464	14139392.0
